Unnamed: 0,labels,headline,__index_level_0__
8508,2,russian olympic coach gently breaks news to hulking 200-pound gymnast that she won't be competing in south korea,5264
13479,1,report: you live in an embarrassing country,8042
12771,1,new study finds solving every single personal problem reduces anxiety,13015
2766,1,"report: shit, last night was trash night",2107
1685,1,springer audience now just chanting 'kill! kill!',8779
5704,0,bizarre sci-fi novel posits world where natives inhabited america before europeans,10317
6242,1,"roommate, girlfriend never seem to have sex",3973
7610,1,divorcing parents assure anxious kids that dog still loves them,11037
4480,0,man feeling guilty about chowing down at 9/11 museum café,3034
7798,2,u.s. ambassador to cambodia thinks diplomatic immunity covers what he just did,4863
4972,0,robots speak out against asimov's first law of robotics,3286
3280,2,mitt romney frantically running around ohio smiling and waving,2367
611,0,cat speed-dials ex-girlfriend,8361
6139,2,emotional elon musk recalls spending entire birthday working on concepts for mistreating employees,10496
3444,2,paula broadwell crashing on petraeus family's couch until sex scandal blows over,440
8817,0,"bird reflects on frailty, impermanence of life after finding dead human on sidewalk",11495
758,1,no one has heart to ask human beat box to stop,8425
10600,0,dozens of social issues thankful they never had to go toe-to-toe with muhammad ali,12197
10392,2,paul ryan awaiting soulcycle instructor's approval before accepting speaker role,6307
2307,0,embarrassed library of congress can't believe some of the albums it used to be into,9021
1145,1,smitten foot fetishist thinking these may be the two,1224
2047,1,universal remote latest step in area man's plan for total living room domination,8919
3702,1,area man wins conversation,2592
4895,1,loser can't even get wife pregnant,3247
12019,2,u.s. urges bin laden to form nation it can attack,7216
9999,2,poll shows increasing number of voters blame founding fathers for starting america,6092
13433,2,"cia admits it's good at overthrowing stuff, not so much the intelligence",8008
9204,2,nation's math professors announce plans to continue wearing chinos with running shoes indefinitely,11642
3862,1,man at airport pissed that other people had same idea to go home for thanksgiving,2691
6545,1,fact repeated as urban legend,4132
4116,2,cash-strapped yellowstone cuts funding of program to provide hibernating bears with sleeping caps,9696
10028,0,kfc paleontologists reconstruct 24-piece party bucket from single chicken leg,6109
3054,0,suicide bomber reacts poorly to surprise birthday party,2249
3622,1,months of painstaking practice critiquing celebrity fashion comes down to this for area woman,2552
7977,2,departing obama tearfully shoos away loyal drone following him out of white house,4972
12031,1,local oddball expends energy doing things,7222
2714,2,scarlett johansson immediately rejects heartwarming prom invite from high school student,9161
5638,2,gingrich privately regretting not doing 'more jew stuff' on florida campaign trail,3649
13533,1,no one in group admits girls' night out a colossal failure,8072
2241,1,pool owner has bathing suit that touched his penis you can borrow,8997
10675,1,friend's threats to come visit becoming disturbingly more genuine,12226
10451,0,patagonia introduces new high-performance jacket specially designed to protect wearer on walk between front door and car,12128
11140,2,orrin hatch delivers farewell address from coffin descending into plot dug in middle of senate floor,6698
1407,1,"it doesn't look that cold out, reports man who doesn't have thermo-sensing eyes",1360
4786,2,clinton clinton,3196
2654,2,bush defends deny-side economics,2037
3271,2,cia forced to complete all scheduled torture in one hectic weekend,486
2368,2,write-in candidate thought he had enough friends to win,9043
344,0,millions across country celebrate 'make a kid at work' day,783
5219,1,closed shop in gentrifying neighborhood to emerge from chrysalis as beautiful gastropub,10117
7941,2,"voice inside cheering libyan rebel's head: 'oh, fuck, now what?'",4947
6102,1,porn-store change machine gummed up again,10481
4877,1,area child disappointed to learn parents' love unconditional,3238
13194,1,study finds backing down in fight with loved one extremely harmful to relationship,13190
7653,0,white sprinter finishes fifth,4785
7064,2,report: nation secretly hoping dads die first,4447
12972,1,"every time area man drops by, friend is watching the big lebowski",7748
7918,0,samsung smart tv owner learning about majority of features from leaked cia documents,13596
7852,1,man either sick or just at end of workday,4894
12550,0,hanukkah decorations being defaced earlier every year,12930
11416,2,voice of patrick stewart lends air of legitimacy,6860
2438,1,mom can't wait for halloween episode of 'the big bang theory',1915
92,2,congressman lets his guitar do the talking,8153
10915,0,prescription label recommends just taking more and more until something kicks in,6569
5278,1,chipper coworker must have eaten breakfast like some big shot,3464
2841,1,lunch place uses way too much mayo in fruit salad,2138
11061,2,joe arpaio's family surprises him with detained hispanic motorist,12382
4088,1,napkinless man with grease-covered fingers realizes he trapped in a prison of his own creation,9683
269,1,man who plays devil's advocate really just wants to be asshole,742
11510,1,area gambler likes those odds,6922
9743,1,daddy issues worked out on dance floor,5950
6083,2,westboro baptist church not really sure why they're picketing allan arbus' funeral,10475
12105,2,pbs defends 'arthur' episode where mr. ratburn reveals he's the ultimate twink power bottom,7265
11653,2,night watchman keeps leno under close surveillance,12595
5229,1,area mom adds ankle weights to already bizarre workout routine,3442
8012,0,church sign vandalized by satan,4991
4136,1,inner-city prodigy earns ged at age 11,2847
3767,0,elderly man feeling useless in retirement wishes he could go back to feeling useless at work,9573
2001,2,oxfam: 'your donation will help us protect impoverished girls from our employees',8898
3095,2,sighing banksy methodically kills another few kids who stumbled upon him doing graffiti,9317
9482,0,police horrified by grisly remains of taco bell meal,5804
1626,2,"onion social ceo promises algorithm will now automatically label racist, sexist content as 'debatable'",8762
10302,0,"$80,000 wedding beautiful",12070
10055,1,study finds average american hopes no one saw that 12 times per day,6125
1395,2,u.s. middlemen demand protection from being cut out,8661
2306,0,unambitious terrorists overturn trash can,1834
1342,0,nation's sports fans demand to spend $21.99 on something,8635
3197,2,fcc chairman overturns decision to cancel 'party down',9360
8710,0,tv show under fire for depicting murder,11448
7370,0,"after 40-day search, authorities finally replace missing boy",10946
7574,0,amazing medical discovery to add years of fish-oil consumption to man's life,4742
4110,2,"after a string of accidents, u-haul announces closure of aircraft division",9693
13362,1,softball team unsure of how to console jackass captain who just struck out,7964
7540,0,department of defense unveils $83 million thing that shoots,4721
6684,2,onion social ceo addresses user privacy concerns by adding new 'are you sure?' prompt to doxing feature,10711
4428,1,world's most advanced yo-yo doesn't need you,3003
12797,0,nair introduces new incendiary oil for controlled burn of bikini zone,23
10066,1,third stepdad in row has goatee,6134
5406,1,parents of adorable baby on tv show most likely insane,3524
4830,0,fantasy novel not holding back on criticisms of dwarvish culture,9982
1932,2,queen elizabeth to think mainly about her approaching death throughout olympics ceremony,8874
260,0,"man completes life $130,000 over budget",8216
1305,1,grandma can still feel draft,1309
13004,2,democrats unveil 324 million new slogans to appeal to each u.s. resident individually,7762
11920,2,punxsutawney phil beheaded for inaccurate prediction on annual groundhog slaughtering day,7153
5297,1,lazy minor league promotion just 'baseball night at the stadium',3475
353,2,town hall audience gives amy klobuchar standing ovation as she lifts chris cuomo up by throat,789
7036,0,god humbled to be the answer to 'jeopardy!' clue,10827
7089,2,"internet crashes as billions of people go online to purchase the onion's latest book, 'the trump leaks'",10846
4970,1,dad's been on a parenting kick lately,3284
8739,0,star wars gamer magazine boldly claims to be the leading magazine for star wars gamers,5396
3562,2,obama's aunt sends him article mentioning united states,2514
6960,2,smiling nation takes moment to enjoy thought of what rnc headquarters like right now,4385
4835,0,islamic fundamentalists condemn casual day,9983
12895,0,"livestock happiest, healthiest attendees of state fair",7709
4156,1,sight of o.j. simpson actually kind of comforting,9712
12782,1,email from mom sent at 5:32 a.m.,13020
7189,2,lawyers confirm trump willing to answer all of sean hannity's questions about russia collusion,4515
13542,0,botanists discover trees are all slowly trying to strangle each other,8077
5717,0,cashier allows line-cutting to go unpunished,3688
1472,2,"republican party, average working joe bid one another adieu until 2012",1395
7393,0,scientists politely remind world that clean energy technology ready to go whenever,4639
3964,0,thomas the tank engine a little uneasy with his broad autistic following,9640
2759,2,courtney love screams at korean manicurist,13557
7513,2,nation thankful that shellie dean zimmerman was charged with perjury at least,4708
8165,2,john kelly loses seat on naacp board of directors,11235
1375,0,"epa to drop 'e,' 'p' from name",8654
10180,2,sean spicer quietly puts painting back over unfinished escape tunnel,6199
8549,2,white house announces obamacare exchange now only accessible from single kiosk in remote iowa cornfield,5290
7630,1,bus passenger really getting into stranger's nursing textbook,4772
9089,0,turtle bocce balled around,11598
10676,0,report: more travelers avoiding long lines at airport thanks to cinnabon precheck memberships,12227
4995,0,mobile news crew reports on own van breaking down,3301
9222,0,"revamped wpa to create 50,000 new jobs by disassembling, reassembling hoover dam",11650
3218,0,monster truck driver beginning to suspect crowd is cheering for truck,9367
12375,0,hanes unveils w-neck t-shirt,12868
11614,0,baseball hall of fame elected to hall of fame hall of fame,12580
215,2,savion glover taps his way out of another speeding ticket,712
6786,2,u.s. intelligence: burundi may be developing telephone,4279
13175,0,study: uneducated outbreeding intelligentsia 2-to-1,13182
13032,2,trump hails gorsuch as fierce protector of future amendment allowing president to temporarily suspend right to assemble,7779
1598,0,photo of crying father a lasting symbol of economic struggle if there ever was one,8748
2287,2,poll finds 97% of americans don't know who donald trump is,1822
9913,2,tyson foods executives assure critics their chickens physically incapable of walking even if they had room,11917
8234,0,aging airliner flies out to sea to die,11262
10354,1,man's anxiety not about to let depression muscle in on turf,6291
9977,2,"texas now regretting wasting doses of pancuronium bromide on innocent guys back in 1997, 2000, 2004",11944
9091,0,"guitar-instruction manual has eddie van halen on cover, 'go tell aunt rhody' inside",13473
8888,1,mom wants one of those things your sister has for christmas,5465
2553,2,trump boys smash father's cell phone to search for chinese spies,1977
7083,0,gondolier ordered to follow that gondola,10844
4928,1,10-pound fetus about to fucking wreck small mom,3264
3076,2,wall wishes it were load-bearing,9308
2136,1,14-word diet stretched to 200 pages,252
12296,2,heimlich demands maneuver royalties,7372
2750,2,pierce brosnan offended by way new james bond holds gun,2098
7606,0,hospital comforts patients with new therapy oyster program,4759
5691,2,robert pattinson looking forward to taking on more serious vampire roles after conclusion of 'twilight' films,10310
5679,0,furloughed government employee using time off to visit local food pantry she been hearing about,3671
10504,1,working artist has developed thick skin for sound career advice,6357
5784,1,americans experiencing slightly different kind of numbness today,10355
7009,1,"couple should get dinner with other couple, couple reports",4416
12308,0,roy moore disgusted by thought of groping breasts of sexually mature woman,12843
3290,2,gordon ramsay berates spoon for 45 minutes,9392
7362,1,area woman already planning party for 'mad men' series finale,10942
4134,0,world's religious leaders admit they just love getting to wear frilly little gowns and having a blast,9703
8669,0,polite disney world guest decides not to bother mickey mouse for picture,5357
2142,1,minnesota resident thinking of finally packing it all up and moving someplace warm like michigan,8955
12844,0,new pixar employees required to watch adorable sexual harassment video,13051
12819,1,girl finally speaking up enough for people to critique her speaking voice,7670
9126,2,trump boys attempting to tunnel from south lawn to fbi headquarters to free paul manafort from custody,5605
124,2,mysterious man in parking lot threatens to harm rudy giuliani if he ever blabs about trump's legal payments again,8169
6201,0,new 'avengers' fan theory suggests key to beating thanos could be nothing because he not real and none of this exists,10522
10044,2,"rubio campaign deploys 6,000 ground troops to combat isis",6118
13579,2,tyson holds contest to let fans submit new ideas for torturing chicken to death,13542
3142,1,study finds 68% of americans unprepared for sudden financial stability,9338
1234,1,genuine happiness now seen only on game shows,8596
12900,2,kim jong-un's wife on nuclear threats: 'this isn't the man i was forced to marry',7712
1330,0,skywriter trailed by skyeditor,56
5169,1,different waitress brings order,3412
7131,0,"'100% of teenagers huge fucking assholes,' confirms study by sobbing, red-faced scientists",10865
4145,0,new 'steak & onion' potato chips taste disturbingly like steak and onions,2855
8337,0,nation's men holding acoustic guitars announce plan to idly strum while you try to talk to them,5174
4397,1,alcohol goes right back to abuser every time,2986
687,0,new taco bell menu item ready for testing on humans,8394
7068,2,pope francis asks congregation if it's okay if they do a low-key easter this year,10840
2402,2,report: supplying police with high-powered military weapons to sharply reduce costs of shooting suspects multiple times,9051
11789,2,americans finally recognize own country again after president does half-assed job walking back humanitarian crimes,7078
6787,0,'97 camaros to come with pubescent mustaches,10740
10189,2,gore begins training for 2004 election in remote mountain cabin,6206
2313,1,jellyfish can't wait to fuck up honeymoon,13376
13075,0,study: american intestinal bacteria most obese in world,7809
2946,2,assad vows swift retaliation on syrian civilians in response to u.s. missile strike,2188
5868,0,"sales of chamomile tea, gas masks up sharply",10385
6395,1,report: smart car terrible for doughnuts,4049
3642,2,sen. dick lugar placed on congressional disabled list with strained hamstring,9529
11351,2,dow drops 600 points over picture of worried stock broker staring at computer screen,6825
11209,2,george zimmerman not going to let one bad experience deter him from neighborhood watch responsibilities,6740
10139,1,last french fry told to 'get your ass over here',6177
5442,2,bush promises to unite nation for real this time,3544
8714,2,david crosby shows photo of dwarven blacksmith to barber to give idea of what he wants,519
4135,1,family embarrassed by way son died,9704
5121,0,doctors: cancer patients who watched the onion's amazon pilot daily showed signs of remission,10084
10372,1,rockin' party dude strongly recommends additional drinking,12094
7829,0,cdc study finds decrease in oral sex among teens when researchers are observing,11116
3481,0,wild-eyed marco rubio embarks in rowboat to help venezuela coup effort,227
12929,0,entertainment-history buffs re-enact battle of the network stars,7726
9196,2,thousands gather to watch losing incumbents marched out of washington,5642
11317,0,elderly woman spends day in park feeding pigeons dismembered husband,6803
10513,2,dzhokhar tsarnaev courtside at pacers-heat game,6363
12013,2,open-ended new bill criminalizes whatever black people up to right now,12731
8382,2,bush tumbles wildly down washington monument staircase,11322
2044,2,ryan lochte now changing account of events going back years before robbery,1699
867,0,beauty industry to consumers: 'you like short hair now',13549
9707,1,"report: just 2 more days and you can forget all of this, vanish into 'red dead redemption 2'",11832
2386,2,will shortz frustrated that police yet to crack taunting puzzles revealing locations of 40 years of murder victims,1877
3703,0,warranty outlasts company,513
11187,1,woman jealous of horse's eyelashes,6723
10148,2,exhausted paul giamatti to paul giamatti from home today,12005
1593,1,woman 7 golden retrievers short of childhood vision,8745
1341,0,new toyota suv holds eight passengers and their suvs,8634
8386,1,man starting to think only reason people hanging out with him because they all on same jury,5196
12366,2,report: military contractor overcharged pentagon for torturing iraqi citizens,7416
7956,1,ups guy hasn't heard a doorbell like that one in a while,4960
2805,2,leno to tell outrageous o.j. joke,9193
12003,1,coworker has that excuse that's going around,7205
4272,2,"rick perry speech electrifies 1,200 scared, miserable racists",2916
7740,0,underfunded school lacks resources to calculate student-to-teacher ratio,480
8619,1,friendly cashier persona briefly dropped to address trainee,5328
7263,0,yankee candle clarifies that product only intended to be dripped on balls,10911
3661,2,crowd at trump rally realizes they've been chanting 'we are frightened and helpless' for last half hour,2577
7732,0,iceberg sighs contentedly as it slowly lowers itself into warm arctic water,4828
10999,0,historical archives: a salt cake recipe,12351
8252,1,society tea party spoiled by ocelot,11269
9879,1,man waiting to see how few more decades of racial violence play out before taking action,11902
9191,2,update: 'the onion' has halted production on our travel tips video narrated by jeremy piven,5639
5952,1,study finds americans lead world in ability to justify unnecessary purchases,10421
1859,1,small town girl makes good porn,1596
6447,0,cool ashtray found,10625
6099,2,kathryn bigelow - first woman to win oscar for best directress,3896
3911,2,chinese government asks entire nation to pose while millions of surveillance cameras take photographs,9620
1387,1,widower misses sex with dead wife terribly,1349
7735,1,girlfriend's cat choked a little,4830
9824,1,area man a little too old to have obama fever,6000
5880,1,check it out: deer,3777
5143,0,agent asks failing actor if he's considered becoming alt-right commentator,10089
3841,1,"routine, affordable medical procedure put off another year",9598
239,2,warrantless surveillance bill to protect nation by creating dozens of future whistleblowers,8206
10231,0,cinemax director wins award for skinematography,12037
3793,1,study finds americans do most financial planning when figuring out how to get money's worth at buffet,9581
5890,2,nation's flag nerds anxiously watching d.c. statehood push,10390
5964,2,"in major gaffe, obama forgets to dumb it down",10427
8211,0,sports de-emphasized,11254
3977,0,employee leaving company unsure how to break it to coworkers who don't really care whether he lives or dies,2762
4161,0,'hands across liechtenstein' raises $30 for liechtenstein charities,13397
11240,2,congressional aides withholding sex until budget compromise is reached,6757
5711,1,area man outraged his private information being collected by someone other than advertisers,3685
5545,1,morbidly obese man enjoys disabled privileges with motorized cart,3602
12686,2,david bernhardt denies business interests influenced yellowstone's name change to frito lay presents doritos flamin' hot nacho national park,7596
3554,2,ecuadorian embassy runs ad seeking 'no drama' tenant for newly vacant room,9502
