,labels,headline
2484,1,nation's tall asked to stand in back
1517,0,"interpol admits 89% of its cases involve finding, recovering the 'mona lisa'"
7841,1,friend working at milwaukee history museum could probably get you in for free
3091,0,"'you did the best you could,' says iron man action figure voiced by despondent toys 'r' us ceo packing up office"
3745,0,enron executives blamed for missing employee donut fund
5663,2,rate of uninformed conversations about navy seals skyrockets
10175,2,"'this women's strike won't accomplish anything,' reports man who will boycott upcoming 'avengers' movie"
6499,2,fox ordered to cancel upcoming when presidents are assassinated live special
6926,1,miracle dog gives birth to septuplets
2684,1,pan left to soak now predates all current roommates
1207,2,network executive cancels show after ruining it in development
4379,1,night out thrown off-balance by friend unexpectedly bringing someone
2706,1,manager fails to keep it short or sweet
2908,0,undercover fireman infiltrates three-alarm blaze
10875,1,lawn failing to pull off big rock in corner look
639,2,lester holt fills in for brian williams during family's nightly dinner
2910,0,parents gently explain to son why family dog had to be blown up with dynamite
4039,0,obama to create 17 new jobs by resigning and finally opening that restaurant
10069,0,"dancing wild man strikes again, badly shaken bar-goers report"
3709,2,robin williams body-hair-mowing project enters third week
3025,0,little tobacco hit with $3.5 hundred lawsuit
11039,0,"poll: 99% of human beings would prefer big, slobbery hound dog pope"
12886,2,travel channel blows its 'bed and breakfasts of new england' wad
2082,0,man unknowingly purchases lifetime supply of condoms
120,0,couple just wants small ceremony in public park with close friends and shirtless stranger hanging around tree
11177,1,mom hasn't ordered favorite pizza topping in over a decade
5623,0,researchers find that spanking your children is incredibly fun
5240,2,clinton says badtz-maru may be his favorite sanrio character
13106,1,biden now a purple belt
9914,1,woman who admits to having watched golden globes thinks jodie foster embarrassed herself
5252,1,report: some people live in pennsylvania
2872,2,"trump invites supporter, bbc cameraman to finish altercation at white house"
1122,0,new biodiversity program busses in species from outside ecosystems
13357,1,elderly man who's outlived wife by 8 years must not have loved her very much
11733,1,being older than daughter babysitter's only qualification
13607,0,michelle obama seen outside walking family rhinoceros
12431,2,"tom gilbert, actor who portrays tv's regis philbin, to leave 'regis & kelly' show"
6325,1,coworker with fluorescent bike vest treats office to futuristic light show on way to desk
6384,1,pigeon to invoke power of flight
9377,1,5-year-old critics agree: movie 'cars' only gets better after 40th viewing
12768,2,"world health organization adds gunfire, explosions to list of natural causes of death"
13612,1,report: store out of good kind
4036,0,greenpeace releases rescued dolphins into forest
4414,1,"boss wants friendly, relaxed company culture in place by friday"
4329,1,drought bad
10214,1,local child amuses cafébut for how long?
6476,0,gynecologists recommend taking time off between iuds to allow body to expel backlogged periods
12055,2,epa rolls back emissions standards to increase consumer choice over type of apocalyptic hellscape earth will become
5802,2,bush texting while mahmoud abbas speaks
1169,1,woman finds it worrying that all of new boyfriend's previous relationships ended in breakups
4053,0,apparently werewolf was allergic to peanuts
1789,1,oatmeal variety pack has only 'regular' flavor left
10379,0,chuck norris fighting for everyone who can't fight back
12068,1,roommate won't shut up about his best sound mixing oscar
13310,2,"north korean military developing parade capable of traveling 5,000 miles"
10090,2,birthday card for david axelrod circling around afghan war meeting
4160,0,"desperate starbucks now pleading for people to masturbate, use drugs in its restrooms"
3366,0,iraq beheading videos enter summer reruns
13507,1,"father-in-law think tank issues comprehensive one-sentence solution to immigration, unemployment, crime problems"
9250,1,hot rock-and-roll chick totally married
7339,0,tokyo adds 100-story toadstool to skyline
5468,0,lush unveils new line of anti-aging youthful maiden bloodbombs
9051,0,fbi launches nationwide manhunt for new office manager
3168,0,vigilante judge takes law into own hands
10196,1,new resort community still trying to think of name
903,1,employee worries coworker's computer screen may be larger
12588,0,secretary of interior says knocking down rocky mountains could really open nation up
455,1,gamers rejoice! this potion restores 20 hp
2344,1,man celebrates raise company will eventually use to justify firing him
3099,1,area high school somehow still carrying on without 2011 seniors
3641,2,dad from 2150 can't get enough iraq war documentaries
9507,1,some guy at bar lived in san francisco for a summer and liked it a lot
10989,1,giant blood clot dislodges from your femoral artery
7866,1,local radio station has got some doobie brothers coming up for you
870,0,annoying youtube algorithm not letting man forget single time he watched 14 hours straight of hitler speeches
10155,2,"'this will be the end of trump's campaign,' says increasingly nervous man for seventh time this year"
1508,2,warden scrambling to find ways to punish striking inmates worse than their typical living conditions
2665,0,john kerry throws vine over pit of quicksand to save child companion
627,0,new co-op airline offers cheaper fares if you help fly the plane
1792,0,ghostwriter taking a few creative liberties with paul reiser's life
9856,1,man resolves to read the wikipedia tabs he already has open before starting new ones
2155,0,fda cancels bacon recall after finding u.s. population already ate it all
2842,2,"idf soldier recounts harrowing, heroic war story of killing 8-month-old child"
3535,0,vatican county fair sets record for world's largest communion wafer
7411,0,defense department typo results in u.s. attack on ira
11809,1,family infighting apparent in funeral guest book
8192,0,"following ray bradbury's death, thousands of people buy kindle version of book about demise of paper books"
13326,2,"police report: sexual assault numbers under control, unless you count the super brutal ones"
6756,2,heston: 'we must arm ourselves if we are to defeat the apes'
3481,0,wild-eyed marco rubio embarks in rowboat to help venezuela coup effort
4729,0,long john silver's customer finds deep-fried poseidon head in value meal
1658,1,study reveals that girls who play princess grow up with skewed perceptions of the role of modern monarchy in a democratic society
196,0,whale expert measures everything in elephants
4706,1,david byrne holds up old suit to show how far he's come in weight loss journey
9254,1,aclu stresses that it legal to film garbage men in all 50 states if you really need to
12026,1,local gym teacher loves forcing children to dance
7655,0,leaked george lucas sex tape includes digitally inserted footage of jabba the hutt
3589,1,sick fucks line up to gape at dead body
10707,2,fbi counterterrorists launch media campaign downplaying symbolic value of golden gate bridge
1642,0,b*a*p*s rented on strength of academy award-winning stars
12880,2,trump claims waterboarding doesn't come close to the excruciating torment he experiences at every moment
950,2,michael jeffreyton wishes screenwriter had given him more believable name
7499,2,tony blair apparently not british prime minister anymore
2899,0,unsuspecting movie stars follow fake red carpet into back of kidnappers' van
2322,1,"that one mcdonald's plate from the '70s: holy shit, there it is"
1261,2,pneumonia virus terrified after remembering what clintons capable of
3689,1,report: scientists still decades away from deciphering wireless bill
5345,0,international atom registry allows customers to name atom after loved one
10252,1,unnamed new gas station struggling to find 'stop 'n go' variant
2223,2,virginia shooting somehow proves what every single american has been saying all along
3633,0,new carl's jr. bedtime burger designed to be eaten while asleep
8267,1,street harasser haunted by woman who got away with dignity intact
13244,2,everything that's wrong with business in america given promotion
5745,2,al-qaeda hires public-relations consultant just to shoot him
2136,1,14-word diet stretched to 200 pages
1748,2,"single, unemployed mother leeching off government"
2037,1,variety of unsustainable business models make up extremely hip neighborhood
10653,0,nintendo reveals 'smash bros. ultimate' will allow characters to repeatedly punch self in face to freak out opponent
1372,2,gingrich urges romney to drop out so he can focus on general election
4862,1,"area father remembers when he thought killing family, self was crazy"
82,1,area ceo doesn't have time for this shit
11459,0,economic stimulus check burned for warmth
13030,0,pregnant wife has no idea which jonas brother she married
565,1,man with hammer-induced thumb injury appeals to christ almighty
136,1,"report: whoa, last person on treadmill ran 8 miles"
2347,1,no one murdered because of this image
896,1,desperate mom okays male babysitter
4787,2,pope francis concerned about infection from holy spirit bite
13210,1,"alignment of 6,071 completely independent variables necessary for man to feel okay"
9650,1,art major to stop capitalizing name
12399,2,"melania wishes just once she could look in mirror without own reflection turning away, gust of wind blowing through room, doors slamming shut"
6278,2,temp excited to begin first day as secretary of agriculture
11227,1,this so typical of hemophiliac
405,1,visit home reveals parents currently watching previously undiscovered game show
11267,1,first-generation immigrant couple still adjusting to life of being featured in son's standup routines
12462,0,cackling julian assange disintegrates into lines of code as baffled authorities attempt to handcuff him
1672,1,father sits teenage son down to explain how sex with mom works
236,0,chicago's shedd aquarium admits panda exhibit a ghastly mistake
107,0,shipwreck survivors forced to endure ride home on disney cruise ship
9221,0,home depot employee can tell this customer's first attempt at pipe bomb
10883,1,english teacher on first date in ages lets dangling modifier slide
5003,2,"report: only 47,000 social justice milestones to go before u.s. achieves full equality"
11798,1,area man always carbo-loading just in case
12444,0,domino's surprises customer with nice steak dinner
11898,2,elliott abrams defends war crimes as happening back in the '80s when everyone was doing it
2838,1,manager of combination taco bell/kfc secretly considers it mostly a taco bell
10950,1,study finds growing number of americans would be comfortable with female pep boy
5938,2,shy congressman wishes other lawmakers would include him in their crimes
10795,2,trump promises government will continue to fund all essential mar-a-lago staff during shutdown
5233,2,halliburton given contract to rebuild cheney
816,2,"busy mel kiper, jr. still finds time to throw around the old spreadsheet with his daughter"
2213,1,parking-ramp attendant moves slightly
4731,0,'wheel of fortune' contestants hit hard as vowel prices skyrocket
6572,2,"man who will pay $60,000 in medical bills this year can't afford health insurance right now"
7896,0,white supremacist living fulfilling racist life since getting kicked offline
11105,1,report: therapist just saying that to make you feel better
13148,1,real-life stranger on a train less interesting than hitchcock version
10693,2,for-profit college hastily designs diploma for student on verge of actually graduating
3285,0,vatican unveils new pope signal
10121,2,whole foods transforms another ordinary vegetable into status symbol
3783,1,opening band upstaged by pre-show music
12984,1,area russian to hug you
214,0,recording academy reminds aging musicians to die before december 15 to be included in 2017 grammy tributes
6981,2,trump surrogate enjoying thrill of not knowing what she going to be defending minute to minute
7660,1,alligator can't stop thinking about delicious swan from last week
9477,0,fbi seizes massive anthrax stockpile
7787,2,kendrick lamar deletes 'rhymezone.com' from internet history
7325,1,wife always dragging husband into her marital problems
1348,2,"rare species of frog may hold cure to...ah, never mind, it's extinct"
4154,0,department of interior brings down derelict rainbow with controlled demolition
5624,2,excited mike pence assures john mccain he has his 'last rites' kit ready to go just in case
3955,2,new ted cruz attack ad declares beto o'rourke too good for texas
1772,1,"area man secretly tired of exposing his big belly for friends to slap, yet knows no other way"
10562,1,you just have to get to know area jerk
11879,0,gore excited after seeing self on tv
4838,0,mental illness determined not to let stigma of area man define it
1299,1,report: it would be a real shame if something were to happen to you
1170,2,ice detains tim kaine for speaking spanish at campaign rally
7359,2,buzzfeed ceo gives laid-off staffers parting gif
9414,0,silicon breast implants perform millions of calculations per second
4609,2,"'no one will push you into running for president,' jeb bush softly whispers before tucking in sleeping grandson"
8634,0,dasani under fire after tanker explosion leads to massive water spill off coast of mexico
1689,1,jazzfest performer recognizes audience from last year
2170,1,man unable to explain contempt he feels for group of people enjoying one another's company
3350,2,'aha!' shouts devin nunes pulling back shower curtain in hopes of revealing hidden fbi agent
1703,2,"1994 video-store receipt reveals clinton rented night eyes 2, 3"
11283,1,generous improv troupe performing for free
12896,2,romney enchants nation with lovely concession song
13526,0,man wishes women in crowded bar would let him read jane austen novel in peace
3594,0,r.l. stine admits every book he's written directly dictated to him by god
7996,1,songs that are always on in background expected to win big at grammys
12301,2,report: many states still relying on outdated methods to disenfranchise voters
2053,2,netanyahu provides stunning new evidence that iranians planned sacking of babylon in 539 b.c.
1431,0,nasa issues formal apology for 1969 genocide of moon natives
8070,0,voice recognition software yelled at
12136,1,"attractive woman, wealthy man somehow making it work"
8428,1,new madonna album hailed as available for purchase
4917,1,judge totally understands where defendant is coming from
7379,1,black man bids tearful goodbye to family before daily commute
1538,0,"older brother playing with younger brother on swing set will one day con him out of $50,000"
13432,1,coworker insists on describing entire plot of old spice commercial
224,1,fifth baby barely showered
5171,2,secret service shuts down biden's unofficial white house tour operation
12226,0,brita unveils new in-throat water filters
13164,2,poll: 89% of illegal immigrants would prefer path to corporate status
3990,2,elena kagan asked straight up: 'you got what it takes?'
4938,0,woman on gym treadmill cranks incline up to 90 degrees
9661,2,report: annie sabatino's boyfriend like 23 or something
13321,2,michael dukakis wakes up not angry for first time since 1988 election
11053,1,man surrounded by loved ones feels awkward being only person dying
3164,0,u.s. fish and wildlife service reintroduces straw hat-wearing boys to old fishin' holes
5262,2,alabama quietly strikes bo bice day from state calendar
1825,0,new texas legislation would require whiskey bottles to be shot out of air immediately after being emptied
5269,1,plan for future still involves drumming for lifehouse
10333,2,nelson mandela evidently thinks world's journalists have nothing better to do than wait around like idiots
9241,1,shitty region of country figures it might as well give producing wine a shot
10846,2,trump dismisses trump as a distraction
7978,2,"duke, duchess of cambridge announce name of third child is louis arthur al-baghdadi"
10814,2,romney frantically figuring out how tax plan could actually work after realizing he might win election
2255,2,furious dianne feinstein demands nsa figure out exactly who didn't endorse her
8090,2,political scientists reassure americans that stripping minorities of citizenship usually where descent into fascism peters out
3081,0,climate scientists confirm there's still time to blow up the earth
8379,2,shocked dzhokar tsarnaev always thought classmates were really great judges of character
5400,0,texas abortion opponents to cheer selves up with execution
8188,1,new study confirms sharks just really angry dolphins
2174,0,loyal dog waits 2 full hours before consuming dead owner's face
976,0,scientists successfully create artificial placenta that tastes just as delicious as real one
7260,1,woman upset at herself for feeling hungry
8414,1,worthless child spills last can of beer
10216,2,gus van sant prepares shot-for-shot teen wolf remake
3967,1,study: all american problems could be solved by just stopping and thinking for two seconds
9147,0,lindsey graham dining alone at applebee's kind of wishes protesters would come heckle him
12741,0,obama suddenly panicked after gazing too far into future
6238,1,shop class in rich school district just teaches students how to deal with general contractors
2894,1,family relieved to hear good grandma didn't die
8811,2,nation would not be surprised at this point if chris brown allegedly traveled back in time and punched anne frank
13231,1,"precocious teen able to read, write"
12645,1,father teaches son how to shave him
6369,0,seed of world war iii planted in beijing middle-school gym class
1929,1,pantone intern starstruck after meeting designer behind sand dollar 13-1106
13488,1,study finds all-consuming self-pity best way to win back ex-partner
4170,0,aids baby lays tiny hand in palm of 'onion' reporter
12958,0,cia headquarters disappears
6312,1,longtime heckler just kind of fell into heckling
4333,0,nerf introduces line of real guns
13461,1,'home improvement' announces plans to suck more
3466,2,palestinians starting to have mixed feelings about being used as human shields
10283,2,flu vaccine recalled due to defective government tracking microchips
2248,0,god starting to worry heaven may be haunted
12646,2,congress reassures nervous zuckerberg they won't actually do anything about this
1628,2,report: murderer who escaped in 1996 remains most successful case of prisoner reintegration
10992,1,"wrapped, labeled christmas presents already stacked in grandmother's spare bedroom"
5365,1,"completely unrealistic tv character has complex, multifaceted personality"
3581,2,trump ramps up attacks on john mccain by dragging senator's exhumed corpse behind motorcade
9332,2,trump locked out of white house after accidentally revoking own security clearance
8287,2,lululemon executives furious after focus group leaves product testing with self-esteem intact
4557,0,white house lawn covered in congressional campaign signs
5048,2,cobweb-covered skeleton gripping senate desk expected to seek 15th term
4957,1,area man got so wasted and abusive last night
2379,2,clinton laughs off idea she politically savvy enough to launch revenge campaign on kavanaugh
4671,0,new gallup poll finds 40% of americans probably going to skip michelle's party
4607,1,report: mom's work friend has no one
7122,1,study: coffee drinkers at far higher risk of having mug crash to floor in slow motion after hearing their father is dead
6900,1,strip poker ends solemnly with scar explanation
2056,1,panic rapidly setting in as man realizes he has no plan for ripe avocado
4060,2,kirstjen nielsen reminds herself she a private citizen now after instinctively detaining mexican child on the street
2162,2,white church protected from fire by god
1270,1,new hampshire returns to obscurity
4464,2,"poll shows majority of americans can't blame congress for the shutdown, not with those adorable faces they can't"
1178,1,sephora makeup artist helping woman create the perfect pink eye
7073,2,"obama compiles shortlist of gay, transsexual abortion doctors to replace scalia"
3443,1,poll finds declining number of americans believe they god
10269,1,drunk driver honored
2323,1,study finds 60% of parents too busy with divorce to worry about football safety
9950,2,jussie smollett arrives in court wearing full-body cast
5244,2,gop 'ins' alabama representative
1621,2,report: majority of americans know which youtube clip they'll post following dustin hoffman's death
4427,1,crucifix a testament to man's wealth
11311,2,"white house: 'for russia, the real sanction is knowing that they let us down'"
10633,1,former couple to remain friends until one finds new sex partner
13348,2,area woman quietly satisfied to have concrete evidence backing up years-long hatred of matt lauer
6746,0,eminem releases single about hugging elton john at grammys then ripping his dick off with pliers
4612,0,courageous heterosexual has never donated blood to red cross in solidarity with gay men
5621,2,'anthem' developers assure players whiteboard with words 'jetpack+guns?' will be playable game by friday
2695,1,road sign over-explains highway's dangers
6279,0,stingray loves when aquarium visitors squeal and recoil after touching it
11936,0,esl textbook concentrates on food-preparation vocabulary
4600,1,mother constantly worried about son stationed on u.s. military base
4104,2,'les misérables' takes home oscar for most sound
6737,0,new urban visor blocks out the poor
8450,0,new poll finds death of spouse most liberating experience in life
11813,2,biden shares 20-minute post-debate kiss with janna ryan
8110,2,mark zuckerberg's net worth plunges not even close to enough
3404,1,christian prop comic wowing churches from coast to coast
5573,2,fred thompson fears presidential run will typecast him as politician
1149,0,"mom's bathing suit just one giant, body-eclipsing ruffle"
9081,2,paul manafort spends afternoon making house look presentable for next fbi raid
3215,1,historical archives: two feared dead in near-by child-birth
2526,2,rudy giuliani backtracks on previous statements referring to 9/11 as tragedy
5319,1,report: everything made in sweatshops
1486,1,historical archives: secret society of free-bakers has fail'd to gain influence
1118,2,obama begins inauguration festivities with ceremonial drone flyover
3444,2,paula broadwell crashing on petraeus family's couch until sex scandal blows over
9322,0,evolution definitively proven as scientists capture first-ever footage of chimpanzee transforming into human
13066,0,redbox debuts new touchscreen in back of kiosk for pornographic features
390,2,american people admit having facebook data stolen kind of worth it to watch that little fucker squirm
11785,2,bush orders iraq to disarm before start of war
2972,0,jew-sponsored stock car booed off track
13631,0,internal affairs investigator disappointed conspiracy doesn't go all the way to the top
6175,0,art professor revealed to be convincing fake
4283,0,conservation program helps struggling rhinos adapt to modern ecosystem by retraining them as urban scavengers
2298,1,fat couple's love like a fat flower
386,1,national weather service to give hurricanes full names
2744,1,visiting friend okay doing whatever
7528,0,cocaine dealer most upstanding guy wall street broker knows
5843,0,quiznos releases new 6-foot-long party man
1666,2,teen admits parents were right about fred durst
12186,1,family members locked in heated bidding war to convince cat to sleep in their bed
2720,0,department of transportation introduces padded bumper lane for intoxicated drivers
8484,2,cormac mccarthy flaunts sexy new beach body
821,0,suicide note surprisingly upbeat
5806,2,"report: hey, stephen tobolowsky is in this!"
4966,1,bitcoin plunge reveals possible vulnerabilities in crazy imaginary internet money
1930,1,all y'all urged to go fuck yo' selves
1239,2,senator trying to make long-distance relationship work with constituency back home
5021,2,boeing lays off only guy who knows how to keep wings on plane
2782,1,guys' weekend getaway begins with daring purchase of new kind of beer
7291,1,catholic teens still coming down after excitement of world youth day
1531,1,world-weary sigh emanates from next bathroom stall
4502,0,abraham lincoln's dna now available over the counter
12372,0,concerned parents demand removal of arsenic from periodic table of elements
891,1,that show about the lady sheriff finally released on dvd
4962,1,german fairy tale ends predictably
919,2,obama urges young voters to ignore how many lousy candidates democratic party runs
8778,1,"'that first date is going terribly,' think diners watching couple celebrate 5th anniversary"
9877,1,area woman recalls days when she resented being hit on
2085,1,law schools now require applicants to honestly state whether they want to go to law school
936,0,dead hamster feels its life has been properly honored by shoebox coffin
12769,1,dress code cracked
13191,1,bear emerges from hibernation refreshed and ready to kill
5606,2,"disgusted tsa agents also calling for end to body scanning, thorough pat-downs"
1923,2,"new report finds adult film star may have paid over $130,000 to cover up sexual encounter with trump"
7740,0,underfunded school lacks resources to calculate student-to-teacher ratio
9238,1,coworkers brought to place of unthinkable intimacy by team-building exercise
7695,1,area man does his best thinking on his atv
4674,2,"dole makes pretend white house out of card table, sheet"
2389,1,takeout burrito shielded from cold as though it were week-old newborn
7383,1,"can of surge results in fully-loaded, in-your-face diabetic reaction"
3271,2,cia forced to complete all scheduled torture in one hectic weekend
11219,0,23-year-old arrested for failure to own halogen lamp
2126,2,john boehner to paul ryan: 'i was once young and beautiful too'
10326,2,new 'game of thrones' trailer provides sneak peek at show's climactic all-cast dance number
753,1,fat kid just wants to watch you guys play
6424,2,stephen miller furious at propublica for only releasing 7-minute recording of immigrant children sobbing
2735,1,family knows better than to fall for mom's little bullshit speech about no presents this year
10801,0,flock of suicidal geese drinking up the courage to down jetliner
9873,2,conrad bain steps down as national kitsch-reference laureate
192,1,neighbors' wi-fi password must be something good
12546,2,successful u.s. airstrike kills 30 iraqis who may as well have been terrorists
12960,2,eric holder announces least controversial decision of tenure
7670,1,report: re-mixxxx!
9792,2,obama hoping jim lehrer doesn't bring up u.s. economy
2510,2,obama to wait for next bruce springsteen album for word on economy
1786,1,it impossible to tell what sounds will freak out cat
12965,1,report: you're actually saving money with roller rink membership
11607,2,r.e.m.'s children still hoping parents will get back together
12585,1,hot girl's number lingered on
9613,2,jeff bezos named amazon employee of the month
12957,1,science-fiction novel posits future where characters are hastily sketched
7222,2,weird couple has greatest sex of their lives after announcement of disney-lucasfilm merger
980,1,unclear whether grandpa having good time
10548,0,indian teen caught playing air sitar
10168,2,8 simple rules laugh track replaced with somber string arrangement
5501,2,amazon reaches 1 trillion labor violations
6661,1,7-year-old only likes corn
3703,0,warranty outlasts company
12218,1,"fun-loving, laid-back woman with a bit of a nerdy side joins online dating service"
2084,1,cat seemed perfectly content right up until point he bolted out of room
11844,1,boyfriend ceremoniously dumped
8505,1,consumption of buncha crunch reverently paused during unsettling scenes of 'american sniper'
6223,1,area man winded after particularly lengthy wendy's order
